State County FIPS,Postal Code,Name,Median Household Income,Year
"12 , 33",FL,Escambia County,35347,2006
"12 , 35",FL,Flagler County,42681,2006
"12 , 37",FL,Franklin County,28896,2006
"12 , 39",FL,Gadsden County,29814,2006
"12 , 41",FL,Gilchrist County,30908,2006
"12 , 43",FL,Glades County,31598,2006
"12 , 45",FL,Gulf County,31543,2006
"12 , 47",FL,Hamilton County,25201,2006
"12 , 49",FL,Hardee County,27851,2006
"12 , 51",FL,Hendry County,31292,2006
"12 , 53",FL,Hernando County,33874,2006
"12 , 55",FL,Highlands County,29421,2006
"12 , 57",FL,Hillsborough County,43304,2006
"12 , 59",FL,Holmes County,27773,2006
"12 , 61",FL,Indian River County,40356,2006
"12 , 63",FL,Jackson County,29951,2006
"12 , 65",FL,Jefferson County,32742,2006
"12 , 67",FL,Lafayette County,27177,2006
"12 , 69",FL,Lake County,39040,2006
"12 , 71",FL,Lee County,41270,2006
"12 , 73",FL,Leon County,38084,2006
"12 , 75",FL,Levy County,27904,2006
"12 , 77",FL,Liberty County,29824,2006
"12 , 79",FL,Madison County,26592,2006
"12 , 81",FL,Manatee County,39756,2006
"12 , 83",FL,Marion County,33247,2006
"12 , 85",FL,Martin County,43136,2006
"12 , 86",FL,Miami-Dade County,33054,2006
"12 , 87",FL,Monroe County,41306,2006
"12 , 89",FL,Nassau County,48579,2006
"12 , 91",FL,Okaloosa County,43173,2006
"12 , 93",FL,Okeechobee County,29789,2006
"12 , 95",FL,Orange County,40671,2006
"12 , 97",FL,Osceola County,38966,2006
"12 , 99",FL,Palm Beach County,43014,2006
"12 , 101",FL,Pasco County,35386,2006
"12 , 103",FL,Pinellas County,36266,2006
"12 , 105",FL,Polk County,35125,2006
"12 , 107",FL,Putnam County,28664,2006
"12 , 109",FL,St. Johns County,52758,2006
"12 , 111",FL,St. Lucie County,37407,2006
"12 , 113",FL,Santa Rosa County,44636,2006
"12 , 115",FL,Sarasota County,42355,2006
"12 , 117",FL,Seminole County,49267,2006
"12 , 119",FL,Sumter County,34044,2006
"12 , 121",FL,Suwannee County,29523,2006
"12 , 123",FL,Taylor County,30871,2006
"12 , 125",FL,Union County,32847,2006
"12 , 127",FL,Volusia County,36100,2006
"12 , 129",FL,Wakulla County,38076,2006
"12 , 131",FL,Walton County,34884,2006
"12 , 133",FL,Washington County,28587,2006
"12 , 1",FL,Alachua County,33176,2007
"12 , 3",FL,Baker County,39281,2007
"12 , 5",FL,Bay County,37081,2007
"12 , 7",FL,Bradford County,32598,2007
"12 , 9",FL,Brevard County,42192,2007
"12 , 11",FL,Broward County,42673,2007
"12 , 13",FL,Calhoun County,26615,2007
"12 , 15",FL,Charlotte County,36514,2007
"12 , 17",FL,Citrus County,31932,2007
"12 , 19",FL,Clay County,51376,2007
"12 , 21",FL,Collier County,48242,2007
"12 , 23",FL,Columbia County,30815,2007
"12 , 27",FL,DeSoto County,27784,2007
"12 , 29",FL,Dixie County,25874,2007
"12 , 31",FL,Duval County,40457,2007
"12 , 33",FL,Escambia County,35347,2007
"12 , 35",FL,Flagler County,42681,2007
"12 , 37",FL,Franklin County,28896,2007
"12 , 39",FL,Gadsden County,29814,2007
"12 , 41",FL,Gilchrist County,30908,2007
"12 , 43",FL,Glades County,31598,2007
"12 , 45",FL,Gulf County,31543,2007
"12 , 47",FL,Hamilton County,25201,2007
"12 , 49",FL,Hardee County,27851,2007
"12 , 51",FL,Hendry County,31292,2007
"12 , 53",FL,Hernando County,33874,2007
"12 , 55",FL,Highlands County,29421,2007
"12 , 57",FL,Hillsborough County,43304,2007
"12 , 59",FL,Holmes County,27773,2007
"12 , 61",FL,Indian River County,40356,2007
"12 , 63",FL,Jackson County,29951,2007
"12 , 65",FL,Jefferson County,32742,2007
"12 , 67",FL,Lafayette County,27177,2007
"12 , 69",FL,Lake County,39040,2007
"12 , 71",FL,Lee County,41270,2007
"12 , 73",FL,Leon County,38084,2007
"12 , 75",FL,Levy County,27904,2007
"12 , 77",FL,Liberty County,29824,2007
"12 , 79",FL,Madison County,26592,2007
"12 , 81",FL,Manatee County,39756,2007
"12 , 83",FL,Marion County,33247,2007
"12 , 85",FL,Martin County,43136,2007
"12 , 86",FL,Miami-Dade County,33054,2007
"12 , 87",FL,Monroe County,41306,2007
"12 , 89",FL,Nassau County,48579,2007
"12 , 91",FL,Okaloosa County,43173,2007
"12 , 93",FL,Okeechobee County,29789,2007
"12 , 95",FL,Orange County,40671,2007
"12 , 97",FL,Osceola County,38966,2007
"12 , 99",FL,Palm Beach County,43014,2007
"12 , 101",FL,Pasco County,35386,2007
"12 , 103",FL,Pinellas County,36266,2007
"12 , 105",FL,Polk County,35125,2007
"12 , 107",FL,Putnam County,28664,2007
"12 , 109",FL,St. Johns County,52758,2007
"12 , 111",FL,St. Lucie County,37407,2007
"12 , 113",FL,Santa Rosa County,44636,2007
"12 , 115",FL,Sarasota County,42355,2007
"12 , 117",FL,Seminole County,49267,2007
"12 , 119",FL,Sumter County,34044,2007
"12 , 121",FL,Suwannee County,29523,2007
"12 , 123",FL,Taylor County,30871,2007
"12 , 125",FL,Union County,32847,2007
"12 , 127",FL,Volusia County,36100,2007
"12 , 129",FL,Wakulla County,38076,2007
"12 , 131",FL,Walton County,34884,2007
"12 , 133",FL,Washington County,28587,2007
"12 , 1",FL,Alachua County,33176,2008
"12 , 3",FL,Baker County,39281,2008
"12 , 5",FL,Bay County,37081,2008
"12 , 7",FL,Bradford County,32598,2008
"12 , 9",FL,Brevard County,42192,2008
"12 , 11",FL,Broward County,42673,2008
"12 , 13",FL,Calhoun County,26615,2008
"12 , 15",FL,Charlotte County,36514,2008
"12 , 17",FL,Citrus County,31932,2008
"12 , 19",FL,Clay County,51376,2008
"12 , 21",FL,Collier County,48242,2008
"12 , 23",FL,Columbia County,30815,2008
"12 , 27",FL,DeSoto County,27784,2008
"12 , 29",FL,Dixie County,25874,2008
"12 , 31",FL,Duval County,40457,2008
"12 , 33",FL,Escambia County,35347,2008
"12 , 35",FL,Flagler County,42681,2008
"12 , 37",FL,Franklin County,28896,2008
"12 , 39",FL,Gadsden County,29814,2008
"12 , 41",FL,Gilchrist County,30908,2008
"12 , 43",FL,Glades County,31598,2008
"12 , 45",FL,Gulf County,31543,2008
"12 , 47",FL,Hamilton County,25201,2008
"12 , 49",FL,Hardee County,27851,2008
"12 , 51",FL,Hendry County,31292,2008
"12 , 53",FL,Hernando County,33874,2008
"12 , 55",FL,Highlands County,29421,2008
"12 , 57",FL,Hillsborough County,43304,2008
"12 , 59",FL,Holmes County,27773,2008
"12 , 61",FL,Indian River County,40356,2008
"12 , 63",FL,Jackson County,29951,2008
"12 , 65",FL,Jefferson County,32742,2008
"12 , 67",FL,Lafayette County,27177,2008
"12 , 69",FL,Lake County,39040,2008
"12 , 71",FL,Lee County,41270,2008
"12 , 73",FL,Leon County,38084,2008
"12 , 75",FL,Levy County,27904,2008
"12 , 77",FL,Liberty County,29824,2008
"12 , 79",FL,Madison County,26592,2008
"12 , 81",FL,Manatee County,39756,2008
"12 , 83",FL,Marion County,33247,2008
"12 , 85",FL,Martin County,43136,2008
"12 , 86",FL,Miami-Dade County,33054,2008
"12 , 87",FL,Monroe County,41306,2008
"12 , 89",FL,Nassau County,48579,2008
"12 , 91",FL,Okaloosa County,43173,2008
"12 , 93",FL,Okeechobee County,29789,2008
"12 , 95",FL,Orange County,40671,2008
"12 , 97",FL,Osceola County,38966,2008
"12 , 99",FL,Palm Beach County,43014,2008
"12 , 101",FL,Pasco County,35386,2008
"12 , 103",FL,Pinellas County,36266,2008
"12 , 105",FL,Polk County,35125,2008
"12 , 107",FL,Putnam County,28664,2008
"12 , 109",FL,St. Johns County,52758,2008
"12 , 111",FL,St. Lucie County,37407,2008
"12 , 113",FL,Santa Rosa County,44636,2008
"12 , 115",FL,Sarasota County,42355,2008
"12 , 117",FL,Seminole County,49267,2008
"12 , 119",FL,Sumter County,34044,2008
"12 , 121",FL,Suwannee County,29523,2008
