State County FIPS,Postal Code,Name,Median Household Income,Year
"30 , 95",MT,Stillwater County,44890,2008
"30 , 97",MT,Sweet Grass County,34253,2008
"30 , 99",MT,Teton County,30928,2008
"30 , 101",MT,Toole County,29946,2008
"30 , 103",MT,Treasure County,30961,2008
"30 , 105",MT,Valley County,32391,2008
"30 , 107",MT,Wheatland County,23620,2008
"30 , 109",MT,Wibaux County,29653,2008
"30 , 111",MT,Yellowstone County,41174,2008
"30 , 1",MT,Beaverhead County,31605,2009
"30 , 3",MT,Big Horn County,27719,2009
"30 , 5",MT,Blaine County,25373,2009
"30 , 7",MT,Broadwater County,33360,2009
"30 , 9",MT,Carbon County,34499,2009
"30 , 11",MT,Carter County,26301,2009
"30 , 13",MT,Cascade County,34546,2009
"30 , 15",MT,Chouteau County,28774,2009
"30 , 17",MT,Custer County,31980,2009
"30 , 19",MT,Daniels County,28081,2009
"30 , 21",MT,Dawson County,33900,2009
"30 , 23",MT,Deer Lodge County,28553,2009
"30 , 25",MT,Fallon County,35354,2009
"30 , 27",MT,Fergus County,31612,2009
"30 , 29",MT,Flathead County,37492,2009
"30 , 31",MT,Gallatin County,40724,2009
"30 , 33",MT,Garfield County,28572,2009
"30 , 35",MT,Glacier County,27129,2009
"30 , 37",MT,Golden Valley County,24739,2009
"30 , 39",MT,Granite County,30988,2009
"30 , 41",MT,Hill County,32365,2009
"30 , 43",MT,Jefferson County,45407,2009
"30 , 45",MT,Judith Basin County,27014,2009
"30 , 47",MT,Lake County,30362,2009
"30 , 49",MT,Lewis and Clark County,40578,2009
"30 , 51",MT,Liberty County,28258,2009
"30 , 53",MT,Lincoln County,29331,2009
"30 , 55",MT,McCone County,27921,2009
"30 , 57",MT,Madison County,31856,2009
"30 , 59",MT,Meagher County,26010,2009
"30 , 61",MT,Mineral County,29904,2009
"30 , 63",MT,Missoula County,36790,2009
"30 , 65",MT,Musselshell County,27499,2009
"30 , 67",MT,Park County,32837,2009
"30 , 69",MT,Petroleum County,23622,2009
"30 , 71",MT,Phillips County,29472,2009
"30 , 73",MT,Pondera County,29420,2009
"30 , 75",MT,Powder River County,28851,2009
"30 , 77",MT,Powell County,29676,2009
"30 , 79",MT,Prairie County,28238,2009
"30 , 81",MT,Ravalli County,34907,2009
"30 , 83",MT,Richland County,34365,2009
"30 , 85",MT,Roosevelt County,25677,2009
"30 , 87",MT,Rosebud County,38696,2009
"30 , 89",MT,Sanders County,28456,2009
"30 , 91",MT,Sheridan County,29651,2009
"30 , 93",MT,Silver Bow County,32263,2009
"30 , 95",MT,Stillwater County,44890,2009
"30 , 97",MT,Sweet Grass County,34253,2009
"30 , 99",MT,Teton County,30928,2009
"30 , 101",MT,Toole County,29946,2009
"30 , 103",MT,Treasure County,30961,2009
"30 , 105",MT,Valley County,32391,2009
"30 , 107",MT,Wheatland County,23620,2009
"30 , 109",MT,Wibaux County,29653,2009
"30 , 111",MT,Yellowstone County,41174,2009
"30 , 1",MT,Beaverhead County,31605,2010
"30 , 3",MT,Big Horn County,27719,2010
"30 , 5",MT,Blaine County,25373,2010
"30 , 7",MT,Broadwater County,33360,2010
"30 , 9",MT,Carbon County,34499,2010
"30 , 11",MT,Carter County,26301,2010
"30 , 13",MT,Cascade County,34546,2010
"30 , 15",MT,Chouteau County,28774,2010
"30 , 17",MT,Custer County,31980,2010
"30 , 19",MT,Daniels County,28081,2010
"30 , 21",MT,Dawson County,33900,2010
"30 , 23",MT,Deer Lodge County,28553,2010
"30 , 25",MT,Fallon County,35354,2010
"30 , 27",MT,Fergus County,31612,2010
"30 , 29",MT,Flathead County,37492,2010
"30 , 31",MT,Gallatin County,40724,2010
"30 , 33",MT,Garfield County,28572,2010
"30 , 35",MT,Glacier County,27129,2010
"30 , 37",MT,Golden Valley County,24739,2010
"30 , 39",MT,Granite County,30988,2010
"30 , 41",MT,Hill County,32365,2010
"30 , 43",MT,Jefferson County,45407,2010
"30 , 45",MT,Judith Basin County,27014,2010
"30 , 47",MT,Lake County,30362,2010
"30 , 49",MT,Lewis and Clark County,40578,2010
"30 , 51",MT,Liberty County,28258,2010
"30 , 53",MT,Lincoln County,29331,2010
"30 , 55",MT,McCone County,27921,2010
"30 , 57",MT,Madison County,31856,2010
"30 , 59",MT,Meagher County,26010,2010
"30 , 61",MT,Mineral County,29904,2010
"30 , 63",MT,Missoula County,36790,2010
"30 , 65",MT,Musselshell County,27499,2010
"30 , 67",MT,Park County,32837,2010
"30 , 69",MT,Petroleum County,23622,2010
"30 , 71",MT,Phillips County,29472,2010
"30 , 73",MT,Pondera County,29420,2010
"30 , 75",MT,Powder River County,28851,2010
"30 , 77",MT,Powell County,29676,2010
"30 , 79",MT,Prairie County,28238,2010
"30 , 81",MT,Ravalli County,34907,2010
"30 , 83",MT,Richland County,34365,2010
"30 , 85",MT,Roosevelt County,25677,2010
"30 , 87",MT,Rosebud County,38696,2010
"30 , 89",MT,Sanders County,28456,2010
"30 , 91",MT,Sheridan County,29651,2010
"30 , 93",MT,Silver Bow County,32263,2010
"30 , 95",MT,Stillwater County,44890,2010
"30 , 97",MT,Sweet Grass County,34253,2010
"30 , 99",MT,Teton County,30928,2010
"30 , 101",MT,Toole County,29946,2010
"30 , 103",MT,Treasure County,30961,2010
"30 , 105",MT,Valley County,32391,2010
"30 , 107",MT,Wheatland County,23620,2010
"30 , 109",MT,Wibaux County,29653,2010
"30 , 111",MT,Yellowstone County,41174,2010
"30 , 1",MT,Beaverhead County,31605,2011
"30 , 3",MT,Big Horn County,27719,2011
"30 , 5",MT,Blaine County,25373,2011
"30 , 7",MT,Broadwater County,33360,2011
"30 , 9",MT,Carbon County,34499,2011
"30 , 11",MT,Carter County,26301,2011
"30 , 13",MT,Cascade County,34546,2011
"30 , 15",MT,Chouteau County,28774,2011
"30 , 17",MT,Custer County,31980,2011
"30 , 19",MT,Daniels County,28081,2011
"30 , 21",MT,Dawson County,33900,2011
"30 , 23",MT,Deer Lodge County,28553,2011
"30 , 25",MT,Fallon County,35354,2011
"30 , 27",MT,Fergus County,31612,2011
"30 , 29",MT,Flathead County,37492,2011
"30 , 31",MT,Gallatin County,40724,2011
"30 , 33",MT,Garfield County,28572,2011
"30 , 35",MT,Glacier County,27129,2011
"30 , 37",MT,Golden Valley County,24739,2011
"30 , 39",MT,Granite County,30988,2011
"30 , 41",MT,Hill County,32365,2011
"30 , 43",MT,Jefferson County,45407,2011
"30 , 45",MT,Judith Basin County,27014,2011
"30 , 47",MT,Lake County,30362,2011
"30 , 49",MT,Lewis and Clark County,40578,2011
"30 , 51",MT,Liberty County,28258,2011
"30 , 53",MT,Lincoln County,29331,2011
"30 , 55",MT,McCone County,27921,2011
"30 , 57",MT,Madison County,31856,2011
"30 , 59",MT,Meagher County,26010,2011
"30 , 61",MT,Mineral County,29904,2011
"30 , 63",MT,Missoula County,36790,2011
"30 , 65",MT,Musselshell County,27499,2011
"30 , 67",MT,Park County,32837,2011
