,State County FIPS,Postal Code,Name,Median Household Income
221,"6 , 75",CA,San Francisco County,51402
222,"6 , 77",CA,San Joaquin County,42789
223,"6 , 79",CA,San Luis Obispo County,44310
224,"6 , 81",CA,San Mateo County,65110
225,"6 , 83",CA,Santa Barbara County,45818
226,"6 , 85",CA,Santa Clara County,68223
227,"6 , 87",CA,Santa Cruz County,50977
228,"6 , 89",CA,Shasta County,36478
229,"6 , 91",CA,Sierra County,36545
230,"6 , 93",CA,Siskiyou County,31165
231,"6 , 95",CA,Solano County,56595
232,"6 , 97",CA,Sonoma County,52088
233,"6 , 99",CA,Stanislaus County,41619
234,"6 , 101",CA,Sutter County,39718
235,"6 , 103",CA,Tehama County,32905
236,"6 , 105",CA,Trinity County,29063
237,"6 , 107",CA,Tulare County,33190
238,"6 , 109",CA,Tuolumne County,39620
239,"6 , 111",CA,Ventura County,57885
240,"6 , 113",CA,Yolo County,43612
241,"6 , 115",CA,Yuba County,32802
242,"8 , 1",CO,Adams County,48633
243,"8 , 3",CO,Alamosa County,30994
244,"8 , 5",CO,Arapahoe County,55907
245,"8 , 7",CO,Archuleta County,38677
246,"8 , 9",CO,Baca County,26434
247,"8 , 11",CO,Bent County,27369
248,"8 , 13",CO,Boulder County,57112
249,"8 , 14",CO,Broomfield County,64005
250,"8 , 15",CO,Chaffee County,35719
251,"8 , 17",CO,Cheyenne County,35873
252,"8 , 19",CO,Clear Creek County,57211
253,"8 , 21",CO,Conejos County,26749
254,"8 , 23",CO,Costilla County,21731
255,"8 , 25",CO,Crowley County,23469
256,"8 , 27",CO,Custer County,37830
257,"8 , 29",CO,Delta County,33625
258,"8 , 31",CO,Denver County,41036
259,"8 , 33",CO,Dolores County,31923
260,"8 , 35",CO,Douglas County,93013
261,"8 , 37",CO,Eagle County,58347
262,"8 , 39",CO,Elbert County,66647
263,"8 , 41",CO,El Paso County,49292
264,"8 , 43",CO,Fremont County,33837
265,"8 , 45",CO,Garfield County,48153
266,"8 , 47",CO,Gilpin County,53044
267,"8 , 49",CO,Grand County,48348
268,"8 , 51",CO,Gunnison County,37782
269,"8 , 53",CO,Hinsdale County,35958
270,"8 , 55",CO,Huerfano County,25751
271,"8 , 57",CO,Jackson County,32071
272,"8 , 59",CO,Jefferson County,58851
273,"8 , 61",CO,Kiowa County,30850
274,"8 , 63",CO,Kit Carson County,32891
275,"8 , 65",CO,Lake County,35040
276,"8 , 67",CO,La Plata County,42846
277,"8 , 69",CO,Larimer County,50275
278,"8 , 71",CO,Las Animas County,30092
279,"8 , 73",CO,Lincoln County,31205
280,"8 , 75",CO,Logan County,34329
281,"8 , 77",CO,Mesa County,38129
282,"8 , 79",CO,Mineral County,37018
283,"8 , 81",CO,Moffat County,45071
284,"8 , 83",CO,Montezuma County,33212
285,"8 , 85",CO,Montrose County,38454
286,"8 , 87",CO,Morgan County,34892
287,"8 , 89",CO,Otero County,29317
288,"8 , 91",CO,Ouray County,45521
289,"8 , 93",CO,Park County,52265
290,"8 , 95",CO,Phillips County,33697
291,"8 , 97",CO,Pitkin County,59624
292,"8 , 99",CO,Prowers County,29411
293,"8 , 101",CO,Pueblo County,35130
294,"8 , 103",CO,Rio Blanco County,41730
295,"8 , 105",CO,Rio Grande County,33935
296,"8 , 107",CO,Routt County,53252
297,"8 , 109",CO,Saguache County,23764
298,"8 , 111",CO,San Juan County,32640
299,"8 , 113",CO,San Miguel County,45521
300,"8 , 115",CO,Sedgwick County,27773
301,"8 , 117",CO,Summit County,51610
302,"8 , 119",CO,Teller County,51532
303,"8 , 121",CO,Washington County,31036
304,"8 , 123",CO,Weld County,44756
305,"8 , 125",CO,Yuma County,34494
306,"9 , 1",CT,Fairfield County,61035
307,"9 , 3",CT,Hartford County,51630
308,"9 , 5",CT,Litchfield County,58029
309,"9 , 7",CT,Middlesex County,61869
310,"9 , 9",CT,New Haven County,50737
311,"9 , 11",CT,New London County,51513
312,"9 , 13",CT,Tolland County,61418
313,"9 , 15",CT,Windham County,45996
314,"10 , 1",DE,Kent County,43446
315,"10 , 3",DE,New Castle County,53562
316,"10 , 5",DE,Sussex County,39395
317,"11 , 1",DC,District of Columbia,43215
318,"12 , 1",FL,Alachua County,33176
319,"12 , 3",FL,Baker County,39281
320,"12 , 5",FL,Bay County,37081
321,"12 , 7",FL,Bradford County,32598
322,"12 , 9",FL,Brevard County,42192
323,"12 , 11",FL,Broward County,42673
324,"12 , 13",FL,Calhoun County,26615
325,"12 , 15",FL,Charlotte County,36514
326,"12 , 17",FL,Citrus County,31932
327,"12 , 19",FL,Clay County,51376
328,"12 , 21",FL,Collier County,48242
329,"12 , 23",FL,Columbia County,30815
330,"12 , 27",FL,DeSoto County,27784
331,"12 , 29",FL,Dixie County,25874
332,"12 , 31",FL,Duval County,40457
333,"12 , 33",FL,Escambia County,35347
334,"12 , 35",FL,Flagler County,42681
335,"12 , 37",FL,Franklin County,28896
336,"12 , 39",FL,Gadsden County,29814
337,"12 , 41",FL,Gilchrist County,30908
338,"12 , 43",FL,Glades County,31598
339,"12 , 45",FL,Gulf County,31543
340,"12 , 47",FL,Hamilton County,25201
341,"12 , 49",FL,Hardee County,27851
342,"12 , 51",FL,Hendry County,31292
343,"12 , 53",FL,Hernando County,33874
344,"12 , 55",FL,Highlands County,29421
345,"12 , 57",FL,Hillsborough County,43304
346,"12 , 59",FL,Holmes County,27773
347,"12 , 61",FL,Indian River County,40356
348,"12 , 63",FL,Jackson County,29951
349,"12 , 65",FL,Jefferson County,32742
350,"12 , 67",FL,Lafayette County,27177
351,"12 , 69",FL,Lake County,39040
352,"12 , 71",FL,Lee County,41270
353,"12 , 73",FL,Leon County,38084
354,"12 , 75",FL,Levy County,27904
355,"12 , 77",FL,Liberty County,29824
356,"12 , 79",FL,Madison County,26592
357,"12 , 81",FL,Manatee County,39756
358,"12 , 83",FL,Marion County,33247
359,"12 , 85",FL,Martin County,43136
360,"12 , 86",FL,Miami-Dade County,33054
361,"12 , 87",FL,Monroe County,41306
362,"12 , 89",FL,Nassau County,48579
363,"12 , 91",FL,Okaloosa County,43173
364,"12 , 93",FL,Okeechobee County,29789
365,"12 , 95",FL,Orange County,40671
366,"12 , 97",FL,Osceola County,38966
367,"12 , 99",FL,Palm Beach County,43014
368,"12 , 101",FL,Pasco County,35386
369,"12 , 103",FL,Pinellas County,36266
370,"12 , 105",FL,Polk County,35125
371,"12 , 107",FL,Putnam County,28664
372,"12 , 109",FL,St. Johns County,52758
373,"12 , 111",FL,St. Lucie County,37407
374,"12 , 113",FL,Santa Rosa County,44636
375,"12 , 115",FL,Sarasota County,42355
376,"12 , 117",FL,Seminole County,49267
377,"12 , 119",FL,Sumter County,34044
378,"12 , 121",FL,Suwannee County,29523
379,"12 , 123",FL,Taylor County,30871
380,"12 , 125",FL,Union County,32847
381,"12 , 127",FL,Volusia County,36100
382,"12 , 129",FL,Wakulla County,38076
383,"12 , 131",FL,Walton County,34884
384,"12 , 133",FL,Washington County,28587
385,"13 , 1",GA,Appling County,30517
386,"13 , 3",GA,Atkinson County,26311
387,"13 , 5",GA,Bacon County,27902
388,"13 , 7",GA,Baker County,26624
389,"13 , 9",GA,Baldwin County,32935
390,"13 , 11",GA,Banks County,40070
391,"13 , 13",GA,Barrow County,46048
392,"13 , 15",GA,Bartow County,46097
393,"13 , 17",GA,Ben Hill County,27508
394,"13 , 19",GA,Berrien County,31106
395,"13 , 21",GA,Bibb County,35252
396,"13 , 23",GA,Bleckley County,35280
397,"13 , 25",GA,Brantley County,32686
398,"13 , 27",GA,Brooks County,26333
399,"13 , 29",GA,Bryan County,51620
400,"13 , 31",GA,Bulloch County,29907
401,"13 , 33",GA,Burke County,28911
402,"13 , 35",GA,Butts County,39076
403,"13 , 37",GA,Calhoun County,24695
404,"13 , 39",GA,Camden County,43164
405,"13 , 43",GA,Candler County,26298
406,"13 , 45",GA,Carroll County,41071
407,"13 , 47",GA,Catoosa County,42024
408,"13 , 49",GA,Charlton County,28218
409,"13 , 51",GA,Chatham County,36775
410,"13 , 53",GA,Chattahoochee County,35698
411,"13 , 55",GA,Chattooga County,30738
412,"13 , 57",GA,Cherokee County,63707
413,"13 , 59",GA,Clarke County,29634
414,"13 , 61",GA,Clay County,23380
415,"13 , 63",GA,Clayton County,39535
416,"13 , 65",GA,Clinch County,26551
417,"13 , 67",GA,Cobb County,53000
418,"13 , 69",GA,Coffee County,29478
419,"13 , 71",GA,Colquitt County,27694
420,"13 , 73",GA,Columbia County,59190
421,"13 , 75",GA,Cook County,27668
422,"13 , 77",GA,Coweta County,54055
423,"13 , 79",GA,Crawford County,38342
424,"13 , 81",GA,Crisp County,26311
425,"13 , 83",GA,Dade County,35422
426,"13 , 85",GA,Dawson County,49972
427,"13 , 87",GA,Decatur County,27913
428,"13 , 89",GA,DeKalb County,45123
429,"13 , 91",GA,Dodge County,27857
430,"13 , 93",GA,Dooly County,28123
431,"13 , 95",GA,Dougherty County,30186
432,"13 , 97",GA,Douglas County,49209
433,"13 , 99",GA,Early County,26234
434,"13 , 101",GA,Echols County,26541
435,"13 , 103",GA,Effingham County,49519
436,"13 , 105",GA,Elbert County,29861
437,"13 , 107",GA,Emanuel County,25496
438,"13 , 109",GA,Evans County,27359
439,"13 , 111",GA,Fannin County,31795
440,"13 , 113",GA,Fayette County,74418
441,"13 , 115",GA,Floyd County,34816
442,"13 , 117",GA,Forsyth County,73125
443,"13 , 119",GA,Franklin County,33276
444,"13 , 121",GA,Fulton County,45896
445,"13 , 123",GA,Gilmer County,35360
446,"13 , 125",GA,Glascock County,30947
447,"13 , 127",GA,Glynn County,38742
448,"13 , 129",GA,Gordon County,39497
449,"13 , 131",GA,Grady County,29344
450,"13 , 133",GA,Greene County,33517
451,"13 , 135",GA,Gwinnett County,56717
452,"13 , 137",GA,Habersham County,36926
453,"13 , 139",GA,Hall County,44394
454,"13 , 141",GA,Hancock County,23561
455,"13 , 143",GA,Haralson County,33228
456,"13 , 145",GA,Harris County,50960
457,"13 , 147",GA,Hart County,32766
458,"13 , 149",GA,Heard County,32855
459,"13 , 151",GA,Henry County,61098
460,"13 , 153",GA,Houston County,46317
461,"13 , 155",GA,Irwin County,29877
462,"13 , 157",GA,Jackson County,41562
463,"13 , 159",GA,Jasper County,39651
464,"13 , 161",GA,Jeff Davis County,28770
465,"13 , 163",GA,Jefferson County,27117
466,"13 , 165",GA,Jenkins County,24260
467,"13 , 167",GA,Johnson County,24318
468,"13 , 169",GA,Jones County,43712
469,"13 , 171",GA,Lamar County,36305
470,"13 , 173",GA,Lanier County,29039
471,"13 , 175",GA,Laurens County,32280
472,"13 , 177",GA,Lee County,48764
473,"13 , 179",GA,Liberty County,34019
474,"13 , 181",GA,Lincoln County,31292
475,"13 , 183",GA,Long County,29290
476,"13 , 185",GA,Lowndes County,32743
477,"13 , 187",GA,Lumpkin County,39529
478,"13 , 189",GA,McDuffie County,32740
479,"13 , 191",GA,McIntosh County,29912
480,"13 , 193",GA,Macon County,23505
481,"13 , 195",GA,Madison County,37330
