"Table 1: 2003 Poverty and Median Income Estimates - Counties                             Source: U.S. Census Bureau, Small Area Estimates Branch                              Release date: 10.02.2006",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
1,15,AL,Calhoun County,18095,14158,22032,16.4,12.8,19.9,6250,4741,7760,24.5,18.6,30.4,4197,3055,5339,23.1,16.8,29.4,33137,31191,35205,,,,,,
1,17,AL,Chambers County,5725,4420,7029,16.3,12.6,20,2020,1510,2530,24,17.9,30,1375,983,1767,22.2,15.9,28.5,30844,28954,32858,,,,,,
1,19,AL,Cherokee County,3699,2855,4543,15.3,11.8,18.7,1267,947,1588,23.9,17.9,30,885,633,1137,23,16.4,29.5,32158,30199,34244,,,,,,
1,21,AL,Chilton County,6159,4759,7559,14.9,11.5,18.3,2257,1689,2825,22.5,16.8,28.1,1568,1124,2012,21.3,15.3,27.3,34201,32117,36422,,,,,,
1,23,AL,Choctaw County,2848,2189,3508,18.8,14.5,23.2,996,739,1254,26.9,20,33.9,706,502,910,26.2,18.6,33.8,26829,25099,28678,,,,,,
1,25,AL,Clarke County,5224,4058,6390,19.2,14.9,23.5,2010,1514,2507,27.6,20.8,34.5,1388,1002,1774,26,18.8,33.2,28644,26897,30505,,,,,,
1,27,AL,Clay County,1947,1499,2395,14,10.8,17.2,630,469,790,20.2,15.1,25.4,445,317,573,19.4,13.8,25,29456,27642,31388,,,,,,
1,29,AL,Cleburne County,2008,1558,2457,14,10.8,17.1,703,526,880,21.3,15.9,26.6,493,354,632,20.2,14.5,25.9,32834,30849,34946,,,,,,
1,31,AL,Coffee County,6091,4711,7472,13.7,10.6,16.8,2216,1664,2769,21.1,15.8,26.3,1529,1099,1959,19.9,14.3,25.4,35739,33576,38042,,,,,,
1,33,AL,Colbert County,7628,5938,9318,14,10.9,17.1,2692,2032,3352,21.8,16.5,27.2,1872,1355,2389,20.6,14.9,26.3,33550,31528,35700,,,,,,
1,35,AL,Conecuh County,2966,2286,3646,22.1,17.1,27.2,1123,840,1407,34.2,25.5,42.8,795,569,1021,33,23.6,42.4,23726,22208,25348,,,,,,
1,37,AL,Coosa County,1523,1183,1864,13.5,10.5,16.5,535,402,667,21,15.8,26.2,387,279,495,20.2,14.6,25.9,29801,27990,31730,,,,,,
1,39,AL,Covington County,6406,4953,7859,17.5,13.6,21.5,2183,1638,2727,26.5,19.9,33.1,1509,1085,1933,25,18,32.1,28670,26904,30552,,,,,,
1,41,AL,Crenshaw County,2372,1822,2921,17.6,13.5,21.7,856,638,1074,26.9,20,33.7,593,422,764,25.4,18.1,32.8,28358,26580,30254,,,,,,
1,43,AL,Cullman County,10445,8059,12832,13.3,10.3,16.4,3517,2628,4407,19.5,14.6,24.5,2403,1720,3086,18.4,13.2,23.6,34056,31988,36257,,,,,,
1,45,AL,Dale County,7499,5796,9202,15.7,12.2,19.3,3058,2284,3832,23.5,17.6,29.5,2073,1480,2666,22.7,16.2,29.2,32774,30782,34895,,,,,,
1,47,AL,Dallas County,11221,8765,13678,25.2,19.7,30.7,4469,3381,5556,36.1,27.3,44.9,3064,2227,3901,35.1,25.5,44.7,24456,23000,26003,,,,,,
1,49,AL,DeKalb County,10055,7754,12356,15.1,11.7,18.6,3627,2710,4544,22.6,16.9,28.3,2469,1765,3173,21.6,15.4,27.7,31310,29401,33343,,,,,,
1,51,AL,Elmore County,8233,6400,10066,12.4,9.7,15.2,3093,2336,3849,17.7,13.4,22,2145,1557,2733,16.9,12.3,21.6,42687,40146,45389,,,,,,
1,53,AL,Escambia County,6790,5239,8340,18.7,14.4,22.9,2291,1719,2864,25.9,19.4,32.4,1578,1134,2022,25,18,32.1,28608,26845,30486,,,,,,
1,55,AL,Etowah County,16034,12392,19676,15.7,12.2,19.3,5723,4298,7149,24.4,18.3,30.5,3857,2772,4942,22.8,16.4,29.3,31512,29594,33554,,,,,,
1,57,AL,Fayette County,2893,2260,3525,16.1,12.5,19.6,968,732,1204,24.1,18.2,29.9,687,499,875,23,16.7,29.4,30216,28425,32120,,,,,,
1,59,AL,Franklin County,5312,4106,6517,17.4,13.4,21.3,1899,1424,2375,25.7,19.3,32.1,1330,955,1705,25.6,18.4,32.9,28277,26533,30135,,,,,,
1,61,AL,Geneva County,4482,3463,5502,17.6,13.6,21.6,1580,1185,1974,27.6,20.7,34.5,1116,801,1431,26.7,19.2,34.2,28040,26314,29879,,,,,,
1,63,AL,Greene County,2429,1864,2994,25.1,19.2,30.9,931,693,1170,34.8,25.9,43.8,664,473,855,34.3,24.4,44.2,21963,20542,23483,,,,,,
1,65,AL,Hale County,3557,2736,4378,20.8,16,25.6,1335,996,1674,28,20.9,35.1,934,668,1200,26.9,19.2,34.5,26138,24515,27868,,,,,,
1,67,AL,Henry County,2700,2083,3317,16.3,12.6,20,972,728,1217,25.3,19,31.7,682,489,875,25.1,18,32.2,31504,29585,33546,,,,,,
1,69,AL,Houston County,14098,10893,17303,15.3,11.8,18.8,5528,4151,6905,24.1,18.1,30,3716,2671,4761,22.6,16.3,29,35866,33681,38192,,,,,,
1,71,AL,Jackson County,7713,5963,9463,14.4,11.2,17.7,2733,2048,3419,22.5,16.9,28.2,1858,1332,2384,20.8,14.9,26.7,33128,31113,35272,,,,,,
1,73,AL,Jefferson County,93624,73855,113393,14.5,11.4,17.5,31787,24225,39349,20.1,15.4,24.9,21064,15434,26694,18.7,13.7,23.7,38305,36225,40506,,,,,,
1,75,AL,Lamar County,2386,1842,2930,16.1,12.4,19.8,799,597,1001,24.4,18.3,30.6,550,393,707,22.7,16.2,29.1,28913,27124,30819,,,,,,
1,77,AL,Lauderdale County,13455,10533,16376,15.6,12.2,19,4404,3341,5467,23.5,17.8,29.2,3021,2200,3842,21.7,15.8,27.7,34422,32403,36568,,,,,,
1,79,AL,Lawrence County,4928,3838,6018,14.4,11.2,17.5,1710,1290,2129,21,15.8,26.1,1179,854,1504,19.1,13.8,24.3,34195,32129,36394,,,,,,
1,81,AL,Lee County,17707,13538,21877,15.2,11.6,18.8,4631,3479,5783,17.7,13.3,22.1,3159,2273,4045,16.5,11.9,21.2,33550,31399,35848,,,,,,
1,83,AL,Limestone County,7927,6141,9713,11.9,9.2,14.5,2836,2130,3542,17.3,13,21.6,1923,1383,2463,16,11.5,20.5,40901,38403,43561,,,,,,
1,85,AL,Lowndes County,3109,2396,3823,23.5,18.1,28.9,1212,901,1522,32.9,24.5,41.4,858,611,1105,32.4,23.1,41.8,24090,22587,25692,,,,,,
1,87,AL,Macon County,5421,4147,6695,26,19.9,32.2,1884,1399,2369,35.3,26.2,44.4,1319,937,1701,32.9,23.4,42.5,22594,21127,24163,,,,,,
1,89,AL,Madison County,31157,24446,37867,10.9,8.5,13.2,11145,8468,13822,15.7,11.9,19.5,7291,5321,9261,13.9,10.2,17.7,48719,45928,51680,,,,,,
1,91,AL,Marengo County,4442,3461,5423,20.2,15.7,24.7,1673,1263,2084,28.2,21.3,35.1,1196,866,1526,27.2,19.7,34.7,28815,27099,30639,,,,,,
1,93,AL,Marion County,4939,3804,6075,16.8,12.9,20.6,1657,1238,2077,25.6,19.1,32.1,1152,825,1479,24.4,17.5,31.3,27227,25507,29064,,,,,,
1,95,AL,Marshall County,12811,10012,15610,15.2,11.9,18.6,4823,3642,6003,23.2,17.5,28.9,3210,2328,4092,22,15.9,28,33756,31777,35859,,,,,,
1,97,AL,Mobile County,73097,57364,88830,18.5,14.5,22.5,29191,22199,36184,27.7,21.1,34.3,19550,14280,24820,25.8,18.9,32.8,32850,30954,34863,,,,,,
1,99,AL,Monroe County,4196,3238,5153,17.8,13.7,21.9,1582,1183,1980,25.2,18.8,31.5,1119,801,1437,24.2,17.3,31.1,29027,27238,30934,,,,,,
1,101,AL,Montgomery County,38173,29881,46466,18,14.1,21.9,15165,11506,18824,26.8,20.4,33.3,10260,7473,13047,26,18.9,33,35592,33500,37815,,,,,,
1,103,AL,Morgan County,14792,11586,17998,13.2,10.3,16.1,5395,4093,6697,19.7,14.9,24.4,3642,2653,4631,18.4,13.4,23.4,39965,37651,42420,,,,,,
1,105,AL,Perry County,3149,2409,3889,28.7,22,35.5,1325,973,1676,40.3,29.6,51,961,673,1249,41.4,29,53.8,20630,19312,22038,,,,,,
1,107,AL,Pickens County,3940,3081,4800,19.5,15.2,23.7,1406,1061,1751,27.2,20.5,33.9,1026,742,1310,27.2,19.7,34.7,26895,25311,28579,,,,,,
1,109,AL,Pike County,5830,4491,7169,20.4,15.7,25.1,2093,1563,2623,30.2,22.6,37.9,1440,1028,1852,29.4,21,37.8,26615,24953,28387,,,,,,
1,111,AL,Randolph County,3458,2692,4224,15.7,12.2,19.2,1288,971,1605,23.7,17.9,29.5,909,658,1160,22.8,16.5,29.1,29435,27663,31321,,,,,,
1,113,AL,Russell County,9058,7003,11113,18.6,14.4,22.8,3570,2681,4459,28.4,21.4,35.5,2439,1754,3124,26.5,19.1,34,28547,26798,30410,,,,,,
1,115,AL,St. Clair County,8994,7003,10986,13.1,10.2,16,3219,2427,4011,19.4,14.6,24.2,2246,1627,2865,18.3,13.3,23.3,38713,36401,41172,,,,,,
1,117,AL,Shelby County,11262,8786,13738,6.8,5.3,8.3,3271,2462,4080,7.8,5.9,9.7,2281,1648,2914,7.6,5.5,9.8,60894,57304,64709,,,,,,
1,119,AL,Sumter County,3711,2844,4577,26.6,20.4,32.8,1400,1040,1760,36.5,27.1,45.9,1001,710,1292,34.9,24.8,45.1,20627,19262,22088,,,,,,
1,121,AL,Talladega County,12994,10051,15937,16.8,13,20.7,4650,3493,5806,24.6,18.5,30.7,3191,2296,4086,23.5,16.9,30.1,33191,31113,35407,,,,,,
1,123,AL,Tallapoosa County,6403,4953,7854,16.1,12.4,19.7,2312,1737,2888,24.7,18.5,30.8,1593,1146,2040,23.2,16.7,29.7,30626,28750,32624,,,,,,
1,125,AL,Tuscaloosa County,26368,20684,32053,16.5,12.9,20.1,8704,6621,10786,23,17.5,28.5,5763,4211,7315,21.4,15.6,27.2,35268,33227,37435,,,,,,
1,127,AL,Walker County,10263,8001,12525,14.8,11.6,18.1,3479,2631,4328,21.9,16.5,27.2,2326,1687,2965,20.4,14.8,26,31298,29398,33321,,,,,,
1,129,AL,Washington County,3027,2338,3717,16.9,13.1,20.8,1166,873,1459,24.5,18.3,30.7,823,590,1056,23.3,16.7,29.9,31198,29280,33241,,,,,,
1,131,AL,Wilcox County,3612,2769,4454,28.1,21.5,34.7,1509,1119,1900,39.1,29,49.3,1082,766,1398,39.6,28,51.1,19633,18282,21085,,,,,,
1,133,AL,Winston County,4097,3159,5036,16.9,13,20.8,1454,1087,1821,26.9,20.1,33.6,1012,725,1299,25.2,18,32.4,27430,25699,29277,,,,,,
2,0,AK,Alaska,63126,58920,67332,9.8,9.2,10.5,23342,21006,25679,12.5,11.2,13.7,14330,12571,16089,10.7,9.3,12,52391,50764,54018,7651,6153,9148,15.6,12.5,18.6
2,13,AK,Aleutians East Borough,321,220,422,11.9,8.2,15.6,44,31,56,12.7,9,16.3,26,17,35,10.1,6.7,13.5,39239,36359,42346,,,,,,
2,16,AK,Aleutians West Census Area,385,274,496,7.2,5.1,9.3,56,39,72,7.6,5.3,9.8,33,22,44,5.9,3.9,8,50367,46828,54174,,,,,,
2,20,AK,Anchorage Borough,23108,18348,27868,8.7,6.9,10.5,7998,6075,9922,10.4,7.9,13,4837,3509,6165,8.9,6.4,11.3,55197,52640,57877,,,,,,
2,50,AK,Bethel Census Area,3442,2616,4269,20.7,15.7,25.7,1787,1309,2266,27.1,19.8,34.3,1122,781,1463,24.7,17.2,32.2,35326,32921,37907,,,,,,
2,60,AK,Bristol Bay Borough,89,67,111,8.1,6.1,10.1,26,19,33,8.7,6.2,11.2,18,12,24,8.2,5.3,11,55876,52269,59731,,,,,,
2,68,AK,Denali Borough,124,94,154,6.7,5.1,8.3,30,21,38,7.2,5.1,9.2,20,13,27,6.5,4.4,8.6,52230,48701,56015,,,,,,
2,70,AK,Dillingham Census Area,880,674,1087,18,13.8,22.2,406,297,515,22.6,16.5,28.7,269,186,352,20.1,13.9,26.3,40477,37959,43161,,,,,,
2,90,AK,Fairbanks North Star Borough,6438,5039,7838,7.7,6,9.4,2125,1594,2656,8.5,6.4,10.6,1236,884,1588,7.1,5.1,9.2,52492,49553,55604,,,,,,
2,100,AK,Haines Borough,256,197,316,11.5,8.8,14.1,70,52,89,15.3,11.2,19.3,49,34,64,13.1,9.1,17.2,39003,36456,41728,,,,,,
2,110,AK,Juneau Borough,2230,1729,2732,7.3,5.6,8.9,713,530,896,9.1,6.8,11.5,421,298,544,7.3,5.2,9.5,60024,56453,63821,,,,,,
2,122,AK,Kenai Peninsula Borough,5001,3896,6106,9.9,7.7,12.1,1690,1263,2118,12.5,9.3,15.6,1042,741,1343,10.2,7.2,13.1,48697,45839,51732,,,,,,
2,130,AK,Ketchikan Gateway Borough,1057,813,1300,8.1,6.2,9.9,384,281,487,11,8.1,14,236,164,308,9.2,6.4,12,50154,47065,53445,,,,,,
2,150,AK,Kodiak Island Borough,1134,878,1391,8.6,6.7,10.6,446,329,562,11,8.1,13.8,271,189,353,9.2,6.4,11.9,51809,48453,55397,,,,,,
2,164,AK,Lake and Peninsula Borough,262,200,325,16.6,12.6,20.6,112,81,142,20.9,15.3,26.6,75,52,98,17.8,12.2,23.4,32617,30441,34949,,,,,,
2,170,AK,Matanuska-Susitna Borough,7481,5845,9118,10.5,8.2,12.8,2751,2062,3439,13.8,10.3,17.2,1670,1192,2148,11,7.9,14.2,54725,51393,58273,,,,,,
2,180,AK,Nome Census Area,1578,1208,1949,17.2,13.1,21.2,734,540,928,21.7,15.9,27.4,467,326,608,19.8,13.9,25.8,38925,36383,41644,,,,,,
2,185,AK,North Slope Borough,795,616,973,11.4,8.9,14,333,246,421,12.9,9.5,16.3,205,143,267,11.8,8.2,15.3,57822,54135,61761,,,,,,
2,188,AK,Northwest Arctic Borough,1270,966,1574,16.9,12.9,21,626,451,800,20.5,14.8,26.2,407,277,537,19.5,13.3,25.7,42230,39298,45382,,,,,,
2,201,AK,Prince of Wales-Outer Ketchikan Census Area,798,603,993,13.8,10.5,17.2,292,211,373,18.6,13.5,23.8,190,130,250,16.3,11.2,21.5,35393,33046,37907,,,,,,
2,220,AK,Sitka Borough,666,510,823,7.7,5.9,9.5,205,150,260,9,6.6,11.4,127,88,166,7.7,5.4,10.1,51207,48045,54577,,,,,,
2,232,AK,Skagway-Hoonah-Angoon Census Area,363,277,448,11.6,8.8,14.3,103,74,131,14.9,10.8,19.1,69,47,91,12.2,8.4,16,41072,38528,43784,,,,,,
2,240,AK,Southeast Fairbanks Census Area,941,712,1169,15.9,12,19.7,421,305,536,23.5,17,29.9,264,181,347,20.1,13.8,26.4,40894,38318,43643,,,,,,
2,261,AK,Valdez-Cordova Census Area,900,694,1107,9.1,7,11.2,287,213,362,10.7,7.9,13.4,190,133,247,9.3,6.5,12.1,50408,47349,53664,,,,,,
2,270,AK,Wade Hampton Census Area,1866,1409,2322,24.9,18.8,31,1095,798,1392,32.2,23.5,40.9,688,476,900,29.3,20.3,38.4,27650,25622,29838,,,,,,
2,280,AK,Wrangell-Petersburg Census Area,561,435,687,8.9,6.9,10.9,190,141,239,11.5,8.5,14.4,119,84,154,9.1,6.4,11.7,45724,42961,48665,,,,,,
2,282,AK,Yakutat Borough,73,54,91,10.5,7.7,13.2,18,12,23,11.8,7.9,15.7,13,8,18,10.8,6.6,14.9,40404,37708,43291,,,,,,
2,290,AK,Yukon-Koyukuk Census Area,1106,856,1356,17.5,13.6,21.5,402,295,509,19.7,14.5,25,266,185,347,18.2,12.6,23.7,29952,28122,31900,,,,,,
4,0,AZ,Arizona,783005,736508,829502,13.9,13.1,14.7,316973,290274,343672,20.6,18.8,22.3,213295,192439,234151,19.8,17.9,21.8,41963,40557,43368,92147,75773,108522,20.9,17.2,24.7
4,1,AZ,Apache County,18702,14266,23138,27.6,21,34.1,8884,6495,11272,36,26.3,45.7,6533,4535,8531,36,25,47.1,25558,23914,27314,,,,,,
4,3,AZ,Cochise County,19349,15081,23617,16.3,12.7,19.9,8143,6121,10165,25.6,19.2,31.9,5691,4094,7288,25.2,18.1,32.2,34801,32726,37007,,,,,,
4,5,AZ,Coconino County,18655,14335,22975,15.6,12,19.2,7551,5617,9485,22.1,16.4,27.8,5350,3798,6902,22.1,15.7,28.5,39034,36654,41568,,,,,,
4,7,AZ,Gila County,8658,6648,10669,17.2,13.2,21.2,3659,2712,4606,28.8,21.4,36.3,2630,1861,3399,28.9,20.4,37.3,31780,29805,33886,,,,,,
4,9,AZ,Graham County,6100,4620,7580,20.5,15.6,25.5,2535,1843,3226,27.1,19.7,34.4,1908,1315,2501,27.6,19,36.1,30040,28076,32141,,,,,,
4,11,AZ,Greenlee County,830,629,1030,11.1,8.4,13.8,341,249,434,15.3,11.2,19.5,248,172,324,14.4,10,18.8,41032,38378,43870,,,,,,
4,12,AZ,La Paz County,3385,2522,4248,17.2,12.8,21.6,1097,804,1390,27.1,19.9,34.4,822,573,1071,28.4,19.8,37,25807,24118,27614,,,,,,
4,13,AZ,Maricopa County,441835,353547,530123,12.8,10.2,15.3,177188,136390,217987,18.4,14.2,22.6,115546,85547,145545,17.4,12.9,21.9,46376,44369,48475,,,,,,
4,15,AZ,Mohave County,26438,20397,32478,14.8,11.4,18.2,10631,7898,13364,26.1,19.4,32.8,7457,5297,9617,25.4,18,32.7,32505,30479,34667,,,,,,
4,17,AZ,Navajo County,22416,17291,27542,21.5,16.6,26.4,10338,7632,13045,29.5,21.8,37.2,7459,5243,9675,28.8,20.2,37.3,30078,28188,32096,,,,,,
4,19,AZ,Pima County,126844,100055,153633,14.3,11.3,17.3,48407,36808,60005,21.7,16.5,26.9,33058,24114,42002,21,15.3,26.6,37540,35536,39656,,,,,,
4,21,AZ,Pinal County,29029,22405,35653,14.6,11.2,17.9,11838,8837,14840,22,16.4,27.6,8486,6053,10919,22,15.7,28.3,37869,35376,40537,,,,,,
4,23,AZ,Santa Cruz County,7803,5933,9674,19.2,14.6,23.8,3859,2812,4907,29,21.1,36.8,2719,1886,3552,28.8,19.9,37.6,32070,30062,34211,,,,,,
4,25,AZ,Yavapai County,22491,17512,27469,12,9.4,14.7,7613,5714,9512,19.6,14.7,24.4,5384,3865,6903,18.9,13.5,24.2,35303,33237,37497,,,,,,
4,27,AZ,Yuma County,30469,23430,37509,17.9,13.7,22,14889,10836,18942,28.6,20.8,36.3,10004,6929,13079,27.6,19.1,36.1,32645,30639,34783,,,,,,
5,0,AR,Arkansas,432240,410707,453774,16,15.2,16.8,159182,148470,169893,23.6,22,25.2,105100,96920,113280,21.7,20,23.4,33445,31994,34895,49523,42786,56260,27.2,23.5,30.9
5,1,AR,Arkansas County,3447,2673,4222,17.3,13.4,21.2,1271,956,1585,26.2,19.7,32.6,842,607,1077,23.8,17.2,30.4,32448,30481,34542,,,,,,
5,3,AR,Ashley County,4201,3242,5161,17.9,13.8,21.9,1661,1245,2078,27.6,20.7,34.5,1133,810,1456,25.8,18.4,33.1,32485,30482,34619,,,,,,
5,5,AR,Baxter County,5380,4140,6621,13.7,10.5,16.8,1719,1274,2164,23.6,17.5,29.8,1135,806,1464,21,14.9,27,30521,28656,32506,,,,,,
5,7,AR,Benton County,17760,13906,21615,10,7.8,12.1,6188,4682,7694,13.1,9.9,16.3,3960,2873,5047,11.7,8.5,14.9,45353,42714,48155,,,,,,
5,9,AR,Boone County,5367,4178,6557,15.4,12,18.8,1872,1411,2334,23.4,17.6,29.1,1243,897,1589,21.2,15.3,27.1,31626,29722,33653,,,,,,
5,11,AR,Bradley County,2464,1893,3035,20.5,15.7,25.2,797,595,999,28.3,21.1,35.5,547,390,704,27.3,19.5,35.1,26593,24932,28364,,,,,,
5,13,AR,Calhoun County,796,611,982,14.6,11.2,18,257,191,322,20.7,15.5,26,184,130,238,19.2,13.6,24.8,29940,28093,31909,,,,,,
5,15,AR,Carroll County,4059,3123,4995,15.4,11.8,18.9,1412,1054,1769,23.4,17.5,29.3,967,690,1244,22.2,15.8,28.5,27796,26068,29638,,,,,,
5,17,AR,Chicot County,3553,2760,4346,28.2,21.9,34.5,1348,1013,1682,39.8,29.9,49.7,938,675,1201,38.2,27.5,48.9,22088,20707,23560,,,,,,
5,19,AR,Clark County,3673,2854,4491,17.3,13.5,21.2,1086,821,1351,22.4,16.9,27.8,735,532,938,21.3,15.4,27.1,29970,28157,31900,,,,,,
5,21,AR,Clay County,2855,2220,3490,17.1,13.3,21,936,706,1167,25,18.8,31.1,626,452,800,22.6,16.3,28.9,27217,25541,29004,,,,,,
5,23,AR,Cleburne County,3582,2774,4391,14.4,11.1,17.6,1203,902,1504,23.6,17.7,29.5,800,574,1026,21.1,15.2,27.1,32341,30380,34428,,,,,,
5,25,AR,Cleveland County,1264,973,1555,14.2,11,17.5,468,350,586,21.8,16.3,27.3,317,226,408,20.2,14.4,26,34724,32605,36980,,,,,,
5,27,AR,Columbia County,4857,3771,5943,20.4,15.8,25,1729,1298,2161,30.1,22.6,37.6,1175,843,1507,27.7,19.9,35.6,29275,27476,31191,,,,,,
5,29,AR,Conway County,3375,2607,4143,16.5,12.8,20.3,1238,927,1548,25.5,19.1,31.9,825,591,1059,23.1,16.5,29.6,31779,29835,33851,,,,,,
5,31,AR,Craighead County,13361,10455,16267,15.8,12.4,19.3,4752,3603,5900,23,17.4,28.5,3156,2294,4018,21.7,15.8,27.6,34821,32767,37003,,,,,,
5,33,AR,Crawford County,7736,6019,9454,13.7,10.7,16.8,3352,2517,4188,22.4,16.8,28,2224,1598,2850,20.1,14.4,25.8,35138,33023,37389,,,,,,
5,35,AR,Crittenden County,11550,8959,14141,22.6,17.5,27.7,4950,3726,6174,31.7,23.9,39.6,3223,2323,4123,28.8,20.8,36.8,30546,28701,32510,,,,,,
5,37,AR,Cross County,3718,2893,4543,19.7,15.3,24.1,1447,1089,1805,29.4,22.1,36.6,972,700,1244,26.3,18.9,33.7,30356,28535,32294,,,,,,
5,39,AR,Dallas County,1555,1195,1915,18.8,14.5,23.2,579,432,726,28.7,21.5,36,402,287,517,27.5,19.7,35.4,26633,24958,28421,,,,,,
5,41,AR,Desha County,3406,2615,4197,23.3,17.9,28.8,1342,999,1685,33.4,24.9,42,927,658,1196,33,23.4,42.6,25822,24204,27548,,,,,,
5,43,AR,Drew County,3334,2592,4075,18.5,14.4,22.6,1227,925,1529,27.9,21,34.7,815,589,1041,25.5,18.4,32.6,29817,28014,31736,,,,,,
5,45,AR,Faulkner County,11641,9062,14221,12.8,10,15.6,3889,2928,4851,16.9,12.7,21.1,2554,1840,3268,15.5,11.2,19.9,40395,37970,42976,,,,,,
5,47,AR,Franklin County,2932,2284,3581,16.4,12.8,20,1064,802,1326,24.3,18.3,30.3,705,508,902,22.6,16.3,28.9,31307,29418,33318,,,,,,
5,49,AR,Fulton County,2159,1672,2646,18.2,14.1,22.4,735,550,921,29.7,22.2,37.2,465,332,598,24.9,17.8,32,26687,25062,28417,,,,,,
5,51,AR,Garland County,14567,11387,17748,16,12.5,19.5,5103,3867,6339,26.5,20,32.9,3342,2428,4256,24,17.4,30.6,32064,30174,34073,,,,,,
5,53,AR,Grant County,1862,1436,2288,10.9,8.4,13.4,648,485,811,15.7,11.8,19.7,440,315,565,14.1,10.1,18.1,40375,37925,42983,,,,,,
5,55,AR,Greene County,5945,4620,7269,15.4,12,18.8,2157,1620,2693,22.3,16.8,27.9,1394,1002,1786,20.4,14.6,26.1,33001,31000,35130,,,,,,
5,57,AR,Hempstead County,4440,3432,5448,19.1,14.8,23.4,1749,1311,2187,28.5,21.4,35.6,1182,848,1516,26.7,19.1,34.3,27614,25886,29458,,,,,,
5,59,AR,Hot Spring County,4562,3527,5597,15,11.6,18.4,1654,1240,2067,22.8,17.1,28.5,1107,794,1420,20.3,14.5,26,32498,30518,34605,,,,,,
5,61,AR,Howard County,2235,1726,2744,15.7,12.2,19.3,847,634,1060,22.6,16.9,28.3,577,413,741,21.9,15.7,28.2,27569,25801,29457,,,,,,
5,63,AR,Independence County,5045,3894,6196,14.9,11.5,18.3,1831,1366,2297,22.7,17,28.5,1197,853,1541,20.7,14.8,26.7,32910,30897,35055,,,,,,
