Table with column headers in row 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
18,037,IN,Dubois County,3492,2849,4135,8.5,6.9,10.1,1087,867,1307,10.5,8.4,12.6,726,570,882,9.4,7.4,11.4,53814,50456,57172,.,.,.,.,.,.
18,039,IN,Elkhart County,29711,26195,33227,15.2,13.4,17,11662,9814,13510,21.2,17.8,24.6,7623,6262,8984,19.2,15.8,22.6,45806,43732,47880,.,.,.,.,.,.
18,041,IN,Fayette County,4056,3335,4777,17.2,14.1,20.3,1414,1131,1697,25.7,20.5,30.9,929,722,1136,22.8,17.7,27.9,39998,37321,42675,.,.,.,.,.,.
18,043,IN,Floyd County,9924,8523,11325,13.4,11.5,15.3,3447,2866,4028,20,16.6,23.4,2235,1831,2639,17.3,14.2,20.4,53367,50127,56607,.,.,.,.,.,.
18,045,IN,Fountain County,2068,1670,2466,12.3,9.9,14.7,725,567,883,18.5,14.5,22.5,478,367,589,16.4,12.6,20.2,47905,44262,51548,.,.,.,.,.,.
18,047,IN,Franklin County,2852,2362,3342,12.5,10.4,14.6,967,773,1161,17.1,13.7,20.5,656,519,793,15,11.9,18.1,45992,42602,49382,.,.,.,.,.,.
18,049,IN,Fulton County,3161,2639,3683,15.5,12.9,18.1,1145,924,1366,23.1,18.6,27.6,754,590,918,21.1,16.5,25.7,44300,40165,48435,.,.,.,.,.,.
18,051,IN,Gibson County,3768,3127,4409,11.6,9.6,13.6,1153,917,1389,14.9,11.8,18,769,602,936,13.5,10.6,16.4,49320,45996,52644,.,.,.,.,.,.
18,053,IN,Grant County,12023,10155,13891,18.7,15.8,21.6,3824,3115,4533,26.6,21.7,31.5,2507,1987,3027,23.9,18.9,28.9,39151,36738,41564,.,.,.,.,.,.
18,055,IN,Greene County,5159,4286,6032,15.9,13.2,18.6,1619,1287,1951,22,17.5,26.5,1112,874,1350,20.1,15.8,24.4,42684,38917,46451,.,.,.,.,.,.
18,057,IN,Hamilton County,13557,11164,15950,4.7,3.9,5.5,4720,3778,5662,5.6,4.5,6.7,3138,2472,3804,5,3.9,6.1,88429,83049,93809,.,.,.,.,.,.
18,059,IN,Hancock County,5126,4240,6012,7.3,6,8.6,1702,1368,2036,9.7,7.8,11.6,1152,918,1386,8.6,6.9,10.3,66131,60953,71309,.,.,.,.,.,.
18,061,IN,Harrison County,4415,3622,5208,11.4,9.3,13.5,1392,1096,1688,15.9,12.5,19.3,954,741,1167,14.5,11.3,17.7,50704,46907,54501,.,.,.,.,.,.
18,063,IN,Hendricks County,8394,6690,10098,5.7,4.5,6.9,2842,2217,3467,7.2,5.6,8.8,1979,1537,2421,6.7,5.2,8.2,70886,68894,72878,.,.,.,.,.,.
18,065,IN,Henry County,7139,5908,8370,15.6,12.9,18.3,2357,1909,2805,22.6,18.3,26.9,1627,1311,1943,20.7,16.7,24.7,41565,38411,44719,.,.,.,.,.,.
18,067,IN,Howard County,14001,12260,15742,17.2,15.1,19.3,4997,4233,5761,26.8,22.7,30.9,3165,2617,3713,23.1,19.1,27.1,42148,38951,45345,.,.,.,.,.,.
18,069,IN,Huntington County,4152,3439,4865,11.6,9.6,13.6,1326,1039,1613,16.1,12.6,19.6,933,726,1140,15.4,12,18.8,43552,41218,45886,.,.,.,.,.,.
18,071,IN,Jackson County,5358,4455,6261,12.7,10.6,14.8,1869,1477,2261,18.1,14.3,21.9,1265,986,1544,17,13.3,20.7,46573,43396,49750,.,.,.,.,.,.
18,073,IN,Jasper County,3320,2663,3977,10.2,8.2,12.2,1183,923,1443,14.6,11.4,17.8,820,635,1005,13.4,10.4,16.4,54092,49646,58538,.,.,.,.,.,.
18,075,IN,Jay County,2991,2328,3654,14.2,11,17.4,1405,1081,1729,25.8,19.9,31.7,981,751,1211,24.7,18.9,30.5,42410,39268,45552,.,.,.,.,.,.
18,077,IN,Jefferson County,4789,3959,5619,15.7,13,18.4,1578,1243,1913,22.7,17.9,27.5,1083,848,1318,21.2,16.6,25.8,43104,39153,47055,.,.,.,.,.,.
18,079,IN,Jennings County,4366,3601,5131,15.7,12.9,18.5,1571,1244,1898,22.6,17.9,27.3,1053,823,1283,20.3,15.9,24.7,46023,42727,49319,.,.,.,.,.,.
18,081,IN,Johnson County,13495,11456,15534,9.6,8.1,11.1,4783,3926,5640,13.1,10.7,15.5,2942,2321,3563,10.9,8.6,13.2,61671,58704,64638,.,.,.,.,.,.
18,083,IN,Knox County,5625,4533,6717,15.9,12.8,19,1808,1413,2203,23,18,28,1130,851,1409,20.1,15.1,25.1,41356,38309,44403,.,.,.,.,.,.
18,085,IN,Kosciusko County,8643,7232,10054,11.4,9.5,13.3,3123,2512,3734,16.4,13.2,19.6,2071,1637,2505,14.8,11.7,17.9,50153,47343,52963,.,.,.,.,.,.
18,087,IN,Lagrange County,4809,3966,5652,12.9,10.6,15.2,2612,2109,3115,20.8,16.8,24.8,1800,1435,2165,20.1,16,24.2,47870,45220,50520,.,.,.,.,.,.
18,089,IN,Lake County,95358,88386,102330,19.6,18.2,21,38333,35094,41572,31.3,28.7,33.9,25818,23359,28277,28.6,25.9,31.3,48015,46307,49723,.,.,.,.,.,.
18,091,IN,La Porte County,17881,15627,20135,17.1,14.9,19.3,6534,5590,7478,26.8,22.9,30.7,4088,3405,4771,23,19.1,26.9,46127,43501,48753,.,.,.,.,.,.
18,093,IN,Lawrence County,7721,6710,8732,17,14.8,19.2,2409,1970,2848,23,18.8,27.2,1559,1237,1881,19.8,15.7,23.9,39447,36173,42721,.,.,.,.,.,.
18,095,IN,Madison County,19697,17087,22307,15.9,13.8,18,6819,5548,8090,23.7,19.3,28.1,4588,3662,5514,21.9,17.5,26.3,42707,40769,44645,.,.,.,.,.,.
18,097,IN,Marion County,194724,185417,204031,21.6,20.6,22.6,73412,68205,78619,32.3,30,34.6,47445,43591,51299,30.2,27.7,32.7,41586,40487,42685,.,.,.,.,.,.
18,099,IN,Marshall County,5861,4912,6810,12.6,10.6,14.6,2234,1832,2636,18.6,15.3,21.9,1448,1167,1729,16.2,13.1,19.3,46129,42441,49817,.,.,.,.,.,.
18,101,IN,Martin County,1296,1024,1568,12.8,10.1,15.5,440,343,537,18.8,14.7,22.9,297,229,365,17.2,13.3,21.1,44597,40496,48698,.,.,.,.,.,.
18,103,IN,Miami County,5662,4681,6643,17.2,14.2,20.2,1947,1596,2298,24.5,20.1,28.9,1252,992,1512,20.9,16.6,25.2,43608,40038,47178,.,.,.,.,.,.
18,105,IN,Monroe County,30616,28170,33062,24.3,22.4,26.2,4530,3773,5287,20.2,16.8,23.6,2724,2189,3259,17,13.7,20.3,39309,37263,41355,.,.,.,.,.,.
18,107,IN,Montgomery County,6113,5311,6915,16.5,14.3,18.7,1966,1638,2294,22.3,18.6,26,1294,1058,1530,20.2,16.5,23.9,45404,42491,48317,.,.,.,.,.,.
18,109,IN,Morgan County,8617,7327,9907,12.6,10.7,14.5,3131,2586,3676,18.8,15.5,22.1,2113,1715,2511,16.9,13.7,20.1,52886,49285,56487,.,.,.,.,.,.
18,111,IN,Newton County,1631,1310,1952,11.8,9.5,14.1,530,419,641,17.3,13.7,20.9,364,285,443,15.5,12.1,18.9,50129,45689,54569,.,.,.,.,.,.
18,113,IN,Noble County,6547,5463,7631,14,11.7,16.3,2601,2145,3057,21.2,17.5,24.9,1702,1378,2026,18.9,15.3,22.5,44192,41425,46959,.,.,.,.,.,.
18,115,IN,Ohio County,665,528,802,11.1,8.8,13.4,226,177,275,18.3,14.3,22.3,149,115,183,15.6,12,19.2,49301,44548,54054,.,.,.,.,.,.
18,117,IN,Orange County,3372,2779,3965,17.4,14.3,20.5,1212,965,1459,25.8,20.6,31,822,642,1002,22.8,17.8,27.8,38651,35319,41983,.,.,.,.,.,.
18,119,IN,Owen County,3438,2841,4035,16.3,13.5,19.1,1226,992,1460,26.4,21.4,31.4,809,635,983,23,18.1,27.9,41106,37824,44388,.,.,.,.,.,.
18,121,IN,Parke County,2815,2300,3330,18.2,14.9,21.5,1038,834,1242,28.7,23.1,34.3,713,566,860,26.9,21.4,32.4,41311,38059,44563,.,.,.,.,.,.
18,123,IN,Perry County,2586,2090,3082,14.6,11.8,17.4,761,604,918,19.3,15.3,23.3,505,396,614,17.7,13.9,21.5,42942,39823,46061,.,.,.,.,.,.
18,125,IN,Pike County,1357,1062,1652,10.8,8.4,13.2,433,337,529,15.8,12.3,19.3,287,221,353,14.1,10.8,17.4,44977,40756,49198,.,.,.,.,.,.
18,127,IN,Porter County,16958,14595,19321,10.5,9,12,5049,4133,5965,13.2,10.8,15.6,3272,2617,3927,11.3,9,13.6,63879,60214,67544,.,.,.,.,.,.
18,129,IN,Posey County,2403,1917,2889,9.5,7.6,11.4,808,648,968,13.9,11.1,16.7,560,451,669,12.9,10.4,15.4,61587,57309,65865,.,.,.,.,.,.
18,131,IN,Pulaski County,1791,1458,2124,13.9,11.3,16.5,628,495,761,20.8,16.4,25.2,434,338,530,19.3,15,23.6,41818,39743,43893,.,.,.,.,.,.
18,133,IN,Putnam County,4216,3298,5134,13.1,10.3,15.9,1284,996,1572,17,13.2,20.8,874,673,1075,15.4,11.9,18.9,47161,43224,51098,.,.,.,.,.,.
18,135,IN,Randolph County,4212,3444,4980,16.6,13.6,19.6,1655,1325,1985,27.3,21.9,32.7,1103,866,1340,24.2,19,29.4,40656,37887,43425,.,.,.,.,.,.
18,137,IN,Ripley County,3207,2578,3836,11.4,9.2,13.6,1216,961,1471,17,13.4,20.6,831,648,1014,15.7,12.2,19.2,48227,44439,52015,.,.,.,.,.,.
18,139,IN,Rush County,2389,1995,2783,14.2,11.9,16.5,819,666,972,20.6,16.7,24.5,526,411,641,17.1,13.4,20.8,44979,41157,48801,.,.,.,.,.,.
18,141,IN,St. Joseph County,42538,38394,46682,16.6,15,18.2,15208,13205,17211,24,20.8,27.2,11022,9619,12425,23.9,20.9,26.9,45248,43534,46962,.,.,.,.,.,.
18,143,IN,Scott County,4335,3535,5135,18.5,15.1,21.9,1521,1213,1829,28.2,22.5,33.9,1034,816,1252,25.9,20.4,31.4,40299,36897,43701,.,.,.,.,.,.
18,145,IN,Shelby County,5555,4592,6518,12.7,10.5,14.9,1991,1593,2389,19.2,15.4,23,1287,1007,1567,16.7,13.1,20.3,49965,46326,53604,.,.,.,.,.,.
18,147,IN,Spencer County,2062,1671,2453,10,8.1,11.9,622,490,754,13.2,10.4,16,418,325,511,11.8,9.2,14.4,55824,52533,59115,.,.,.,.,.,.
18,149,IN,Starke County,3815,3072,4558,16.5,13.3,19.7,1397,1112,1682,25.9,20.6,31.2,931,728,1134,23,18,28,41700,37930,45470,.,.,.,.,.,.
18,151,IN,Steuben County,4328,3476,5180,13.2,10.6,15.8,1479,1170,1788,20.5,16.2,24.8,982,763,1201,17.9,13.9,21.9,46412,42717,50107,.,.,.,.,.,.
18,153,IN,Sullivan County,3436,2874,3998,18.2,15.2,21.2,1029,842,1216,23.6,19.3,27.9,684,552,816,21,16.9,25.1,41223,37342,45104,.,.,.,.,.,.
18,155,IN,Switzerland County,2081,1708,2454,20.2,16.6,23.8,851,690,1012,33.4,27.1,39.7,590,476,704,32.3,26.1,38.5,42497,38343,46651,.,.,.,.,.,.
18,157,IN,Tippecanoe County,33204,30212,36196,20.4,18.6,22.2,7297,6134,8460,20.3,17.1,23.5,4511,3711,5311,18.1,14.9,21.3,43529,41121,45937,.,.,.,.,.,.
18,159,IN,Tipton County,1551,1243,1859,10,8,12,489,385,593,14.5,11.4,17.6,329,258,400,12.4,9.7,15.1,53917,48802,59032,.,.,.,.,.,.
18,161,IN,Union County,980,777,1183,13.5,10.7,16.3,382,299,465,21.8,17.1,26.5,261,202,320,19.1,14.8,23.4,44796,40566,49026,.,.,.,.,.,.
18,163,IN,Vanderburgh County,26561,22899,30223,15.3,13.2,17.4,8206,6716,9696,21,17.2,24.8,5496,4392,6600,19.9,15.9,23.9,41784,40111,43457,.,.,.,.,.,.
18,165,IN,Vermillion County,2299,1868,2730,14.6,11.9,17.3,769,607,931,21.3,16.8,25.8,506,393,619,18.9,14.7,23.1,42709,38963,46455,.,.,.,.,.,.
18,167,IN,Vigo County,20128,17450,22806,20.3,17.6,23,6443,5404,7482,29,24.3,33.7,4174,3390,4958,26.2,21.3,31.1,40091,37648,42534,.,.,.,.,.,.
18,169,IN,Wabash County,3817,3036,4598,12.5,9.9,15.1,1295,1015,1575,18.8,14.7,22.9,822,631,1013,16.1,12.4,19.8,45849,43488,48210,.,.,.,.,.,.
18,171,IN,Warren County,735,574,896,9,7,11,260,201,319,14.5,11.2,17.8,174,134,214,12.9,9.9,15.9,53781,48835,58727,.,.,.,.,.,.
18,173,IN,Warrick County,5772,4881,6663,9.7,8.2,11.2,2075,1750,2400,13.9,11.7,16.1,1331,1099,1563,11.8,9.7,13.9,60551,56610,64492,.,.,.,.,.,.
18,175,IN,Washington County,4638,3835,5441,16.8,13.9,19.7,1781,1446,2116,26.7,21.7,31.7,1190,949,1431,23.5,18.7,28.3,41598,38170,45026,.,.,.,.,.,.
18,177,IN,Wayne County,14612,13020,16204,22.2,19.8,24.6,5049,4374,5724,33,28.6,37.4,3324,2809,3839,30.3,25.6,35,35220,32790,37650,.,.,.,.,.,.
18,179,IN,Wells County,3039,2509,3569,11.2,9.2,13.2,1107,896,1318,16.9,13.7,20.1,698,548,848,14.7,11.6,17.8,49264,45792,52736,.,.,.,.,.,.
18,181,IN,White County,2904,2344,3464,12.1,9.8,14.4,1007,792,1222,17.7,13.9,21.5,676,521,831,16.1,12.4,19.8,48274,44960,51588,.,.,.,.,.,.
18,183,IN,Whitley County,3137,2549,3725,9.6,7.8,11.4,1073,863,1283,13.7,11,16.4,703,551,855,12.1,9.5,14.7,52081,49511,54651,.,.,.,.,.,.
19,000,IA,Iowa,377110,367628,386592,12.7,12.4,13,114105,108686,119524,16.1,15.3,16.9,73339,68587,78091,14.3,13.4,15.2,50997,50573,51421,37956,35450,40462,19.7,18.4,21
19,001,IA,Adair County,808,652,964,11.1,9,13.2,239,185,293,14.9,11.5,18.3,153,115,191,12.3,9.3,15.3,46917,42877,50957,.,.,.,.,.,.
19,003,IA,Adams County,498,395,601,12.9,10.2,15.6,164,126,202,20.7,15.9,25.5,111,84,138,19.6,14.8,24.4,42338,38597,46079,.,.,.,.,.,.
19,005,IA,Allamakee County,1631,1268,1994,11.7,9.1,14.3,604,463,745,19.2,14.7,23.7,395,294,496,17.3,12.9,21.7,45923,42154,49692,.,.,.,.,.,.
19,007,IA,Appanoose County,1974,1561,2387,15.8,12.5,19.1,660,506,814,24,18.4,29.6,439,331,547,22.5,17,28,38685,35733,41637,.,.,.,.,.,.
19,009,IA,Audubon County,746,625,867,13,10.9,15.1,214,169,259,17.9,14.2,21.6,137,106,168,15.3,11.8,18.8,47823,43324,52322,.,.,.,.,.,.
19,011,IA,Benton County,2298,1890,2706,9,7.4,10.6,754,606,902,12.2,9.8,14.6,495,391,599,10.6,8.4,12.8,59333,55101,63565,.,.,.,.,.,.
19,013,IA,Black Hawk County,17503,15228,19778,13.9,12.1,15.7,4584,3600,5568,16.6,13,20.2,3093,2376,3810,15.9,12.2,19.6,48625,46192,51058,.,.,.,.,.,.
19,015,IA,Boone County,2482,2008,2956,9.7,7.8,11.6,721,559,883,12.4,9.6,15.2,457,346,568,10.5,8,13,51399,47187,55611,.,.,.,.,.,.
19,017,IA,Bremer County,1696,1380,2012,7.5,6.1,8.9,387,302,472,7.4,5.8,9,256,197,315,6.5,5,8,60034,55924,64144,.,.,.,.,.,.
19,019,IA,Buchanan County,2272,1844,2700,11,8.9,13.1,925,723,1127,17,13.3,20.7,618,476,760,15.8,12.2,19.4,54382,50883,57881,.,.,.,.,.,.
19,021,IA,Buena Vista County,2626,2192,3060,13.4,11.2,15.6,965,791,1139,19.2,15.7,22.7,582,454,710,16.2,12.6,19.8,45582,42679,48485,.,.,.,.,.,.
